1.Ako avtomobil se dvizhi so brzina 80km/h, za polovina chas ke pomine rastojanie od?; a)40km b)80km c)160km
2.Zbirot na aglite vo triagolnik e?;a)360 b)180 c)90
3.Sila koja gi drzhi lugeto i predmetite na zemjata e?;a)slaba nuklearna sila b)gravitaciska sila c)elektromagnetna sila
4.Koja od slednive dropki e ednakva na 1/3 ?;a)9/27 b)10/40 c)3/9
5.'Rbetnici koi mozhe da zhiveat i vo voda i na kopno se?;  a)vlekachi b)vodozemci c)chlenkonogi d)ptici
6.Kolku ml ima vo 1 l?;a)100 b)1000 c)10000 d)12000
7.Koj hemiski element e  obelzehan so simbolot Bi?;a)Bizmuzt b)Bor c)Berilium  d)Azot
8.Brojot pi e?; a)nepoznata velichina b)promenliva velichina  c)matematichka konstanta d)fizicka velicina
9.Za koi od slednite disciplini se dodeluva Nobelova nagrada?;  a) Matematika b)Fiziologija ili medicina c) Fizika ili Hemija  d)Biologija e)Geografija
10.Ekologijata se zanimava so?;  a)Prirodata b)Sozdavanjeto na kletkite c)Vrskata pomeǵu organizmite i nivnata okolina d)Tkivata e)Dzvezdite
11.Entomologija e naukata koja izučuva?;a)Odnesuvanjeto na čovekovite sustestva b)Insektite c)Početocite i istorijata na tehničkite i naučnite termini d)Bubacki e)dinosaurusi
12.Izložuvanjeto na sončevata svetlina e dobro za zdravjeto na čovekot bidejḱi?;  a)Se dobiva mnogu vazen vitmin vo teloto b)Se zgolemuva otpornosta c)Kletkite za pigment vo kožata se stimuliraat i sozdavaat zdrav ten d)Ultravioletovite zraci gi pretvoraat masnotiite vo kožata vo vitamin D e)kozata na covekot potemnuva
